Unnamed: 0,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,Unnamed: 35,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team.1
1,Houston,124.709,87.325,0.984,35–5,35,40,51.7,44.8,27.2,34.2,14.2,20.9,36.9,28.6,62.4,47.8,44.5,39.4,30.2,15.8,6.9,45.1,58.1,34.7,43.4,61.781,76.804,79.589,2.288,2025,1.483,1.711,75.719,,74.0,71.8,1.162,0.925,41.533,Houston
2,Duke,130.606,91.992,0.983,35–4,35,39,57.9,44.4,32.9,25.0,14.0,17.1,34.0,27.3,66.6,57.9,43.0,38.6,31.1,10.9,9.4,58.6,50.4,44.6,38.3,65.963,79.779,82.253,0.964,2025,0.369,0.711,80.852,,79.0,72.9,1.25,0.943,33.164,Duke
3,Auburn,127.777,92.905,0.975,32–6,32,38,54.9,46.1,33.9,38.7,13.6,17.4,34.2,29.7,69.1,55.7,46.8,35.9,29.8,15.8,7.7,54.9,40.4,40.8,35.3,68.287,78.513,81.085,2.572,2025,0.674,0.711,34.321,,72.7,73.0,1.196,1.0,46.46,Auburn
4,Florida,127.886,94.092,0.971,36–4,36,40,54.9,45.5,34.9,32.5,15.7,16.6,38.5,29.0,70.6,56.1,46.3,35.6,29.4,11.7,8.7,52.4,45.2,43.7,37.2,69.904,78.045,82.17,2.041,2025,2.854,2.711,28.524,,72.8,71.2,1.201,0.986,40.846,Florida
5,Alabama,127.812,96.567,0.962,28–9,28,37,56.6,47.8,39.3,33.2,16.6,13.5,33.7,29.4,76.1,59.7,49.0,35.3,30.4,10.1,12.1,55.4,44.8,46.6,34.6,75.064,78.065,82.566,1.815,2025,0.587,0.671,59.028,,72.0,71.0,1.185,1.062,47.788,Alabama
6,Tennessee,120.248,91.813,0.957,30–8,30,38,52.5,45.0,35.5,28.2,16.1,17.7,35.6,30.3,64.9,54.0,46.6,33.8,28.7,15.1,9.2,60.6,47.0,43.4,44.6,63.921,77.126,81.339,2.654,2025,0.725,0.671,51.516,,74.5,73.9,1.14,0.971,42.555,Tennessee
7,Texas Tech,126.074,97.558,0.95,28–9,28,37,54.7,48.1,29.2,33.4,14.2,17.1,34.2,28.3,66.5,54.5,47.9,36.7,32.4,8.3,7.9,57.2,46.3,44.5,34.6,66.138,76.4,79.854,1.949,2025,0.847,1.151,36.976,,76.0,71.3,1.195,1.012,35.95,Texas Tech
8,Gonzaga,124.816,96.677,0.95,26–9,26,35,56.0,47.5,30.7,29.3,13.4,18.0,32.5,26.9,70.4,57.5,48.9,35.4,30.2,8.3,8.2,62.4,49.3,33.6,40.2,70.507,77.321,80.884,2.516,2025,-0.086,0.276,60.907,,80.4,72.9,1.215,0.983,28.179,Gonzaga
9,Maryland,118.661,92.055,0.949,27–9,27,36,53.6,47.1,33.1,26.1,14.3,20.1,30.7,28.2,70.4,52.2,47.8,37.3,30.6,11.8,6.8,49.1,49.2,35.4,36.2,69.705,77.504,80.922,1.639,2025,-0.095,0.454,66.348,,75.0,73.7,1.148,0.951,33.921,Maryland
10,Arizona,124.947,97.378,0.946,24–13,24,37,53.3,48.9,35.8,29.8,16.0,16.2,36.0,27.9,70.5,54.7,47.5,33.8,34.0,12.1,7.1,55.6,51.9,34.7,41.3,70.275,77.897,80.514,1.916,2025,0.129,0.454,66.421,,78.0,71.7,1.163,1.033,44.472,Arizona
11,Iowa St.,119.341,93.277,0.944,25–10,25,35,54.9,48.9,37.9,29.0,17.0,21.6,32.2,27.9,69.4,55.5,47.8,35.8,33.6,10.1,8.9,53.4,55.6,36.8,40.9,68.769,77.876,81.048,2.389,2025,-1.047,-0.849,35.627,,75.3,75.0,1.141,0.971,36.237,Iowa St.
12,Wisconsin,123.139,96.731,0.941,27–10,27,37,53.8,48.1,34.2,27.7,14.0,14.5,28.0,26.7,68.7,55.2,46.9,34.8,33.3,6.3,10.7,54.2,49.9,48.2,39.1,67.873,78.118,81.786,2.227,2025,-0.805,-0.849,24.786,,82.6,72.9,1.163,1.028,36.799,Wisconsin
13,Michigan St.,117.3,92.294,0.94,30–7,30,37,50.9,46.2,37.7,31.5,16.4,15.9,35.3,24.7,69.0,53.0,49.1,31.1,28.0,13.2,8.0,61.1,52.6,32.9,40.7,67.649,77.954,81.787,1.744,2025,0.858,0.671,74.826,,77.9,71.4,1.123,0.97,37.195,Michigan St.
14,BYU,126.827,100.19,0.938,26–10,26,36,57.0,51.4,30.4,29.4,17.4,16.9,33.7,26.4,68.1,58.6,49.6,36.8,35.7,10.0,8.3,59.6,53.0,47.6,46.2,67.578,78.138,80.58,1.907,2025,0.791,0.941,35.894,,71.3,71.5,1.176,1.048,37.08,BYU
15,Purdue,125.636,99.346,0.937,24–12,24,36,55.9,51.8,34.6,30.1,15.7,17.5,31.8,29.7,66.2,55.1,55.6,38.2,31.2,5.1,8.5,58.3,58.0,38.4,42.6,65.202,77.019,80.589,1.486,2025,0.372,0.454,73.951,,73.2,71.6,1.168,1.063,40.514,Purdue
16,St. John's,113.019,89.961,0.932,31–5,31,36,49.2,45.9,30.3,30.7,15.3,21.4,37.9,29.8,70.2,51.0,46.0,30.1,30.6,14.9,8.3,53.6,55.3,31.0,40.8,70.058,78.236,80.547,2.115,2025,-0.838,-1.329,63.703,,69.1,67.0,1.103,0.925,27.683,St. John's
17,Kentucky,123.513,98.424,0.932,24–12,24,36,55.9,50.3,35.2,30.6,15.0,14.1,28.2,26.4,72.3,55.6,53.9,37.5,30.5,11.4,8.0,57.0,47.0,41.2,43.7,70.858,78.783,82.208,2.325,2025,0.326,0.151,45.859,,73.1,71.7,1.165,1.065,43.863,Kentucky
18,UCLA,117.978,94.303,0.929,23–11,23,34,52.8,50.1,32.3,33.9,15.9,22.8,32.7,29.8,66.2,52.8,50.7,35.2,32.8,11.0,7.0,61.1,58.0,36.5,45.0,65.125,78.123,81.426,1.848,2025,-0.23,0.099,70.724,,71.0,75.1,1.12,0.985,37.055,UCLA
