rank,year,height,name,previousTeam,conference,number,archetype,min_pct,prpg,def_prpg,bpm,obpm,dbpm,offensiveRating,defensiveRating,usageRate,efgPercent,ts,oreb_pct,dreb_pct,ast_pct,tov_pct,a/to,blockPercent,stealPercent,ft_rate,fouls_per40,dunk_pct,close_pct,far_pct,ft_pct,2pt_pct,3pt_rate,3pt_per100,3pt_pct,apg,rpg,ppg,minutes,threePtPercent,ftPercent
1,Jr,"6'4""",Bennett Stirtz,Drake,MVC,33,Scoring PG,98.8,6.4,4.7,10.0,6.9,3.0,126.4,97.7,26.1,56.2,60.4,2.2,14.0,34.0,13.1,2.9,1.0,3.3,38.6,1.5,1.0,0.721,0.373,0.793,0.545,34.1,7.7,0.396,5.7,4.3,19.2,39.52,39.6,79.3
2,So,"6'2""",Dylan Darling,Idaho St.,BSky,26,Pure PG,84.3,5.1,2.8,7.1,6.0,1.0,120.9,108.6,29.3,50.7,57.8,1.2,11.4,35.4,14.7,2.3,1.4,2.8,54.5,1.8,0.0,0.602,0.352,0.81,0.487,37.9,9.2,0.36,5.7,3.4,19.8,33.72,36.0,81.0
3,Sr,"6'11""",Oscar Cluff,South Dakota St.,Sum,28,PF/C,68.0,5.0,3.1,10.7,9.0,1.7,129.7,100.3,28.8,62.6,66.6,17.2,32.2,21.6,15.8,1.3,3.5,1.1,55.1,3.3,0.923,0.623,0.607,0.778,0.618,2.0,0.4,0.667,2.8,12.3,17.6,27.2,66.7,77.8
4,Sr,"6'9""",Yaxel Lendeborg,UAB,Amer,36,PF/C,84.2,5.0,3.6,11.1,8.2,2.9,123.7,100.9,25.6,54.8,59.2,11.6,25.1,22.9,14.2,2.0,5.1,2.8,44.9,2.9,0.96,0.675,0.359,0.757,0.549,15.3,3.2,0.362,4.2,11.4,17.7,33.68,36.2,75.7
5,Sr,"6'11""",Dawson Garcia,Minnesota,B10,32,Stretch 4,86.7,5.0,3.8,7.3,6.5,0.9,116.5,100.2,26.0,53.0,57.9,5.4,20.2,13.3,9.9,1.4,2.7,1.3,41.5,2.5,0.889,0.574,0.437,0.783,0.518,30.2,7.4,0.373,2.0,7.5,19.2,34.68,37.3,78.3
6,Jr,"6'2""",Donovan Dent,New Mexico,MWC,34,Pure PG,88.8,5.0,4.1,7.2,5.6,1.6,112.7,98.4,28.9,51.4,56.8,1.1,6.2,35.7,16.5,2.1,2.7,2.0,44.3,1.4,1.0,0.589,0.375,0.784,0.501,12.7,2.9,0.4,6.4,2.3,20.4,35.52,40.0,78.4
7,Sr,"6'5""",Anthony Roy,Green Bay,Horz,11,Combo G,29.2,5.0,2.1,8.4,8.7,-0.3,116.8,113.1,32.4,63.8,67.9,2.1,16.6,26.6,14.7,1.1,0.3,2.5,37.3,3.0,1.0,0.63,0.583,0.864,0.621,62.7,17.7,0.432,2.9,5.3,25.7,11.68,43.2,86.4
8,Sr,"6'4""",Lamar Wilkerson,Sam Houston St.,CUSA,29,Combo G,87.9,4.9,2.2,5.7,6.9,-1.1,118.6,114.1,25.3,57.6,60.4,3.3,9.9,14.2,12.4,1.1,0.7,1.8,21.7,2.6,1.0,0.581,0.448,0.825,0.5,50.7,12.9,0.434,2.1,4.0,20.5,35.16,43.4,82.5
9,Sr,"6'10""",Jacksen Moni,North Dakota St.,Sum,26,Stretch 4,68.0,4.8,2.2,5.8,6.4,-0.6,121.1,110.9,32.1,58.4,62.9,4.5,16.7,27.6,14.9,1.5,1.6,1.0,36.3,3.1,0.667,0.667,0.456,0.84,0.576,41.8,11.3,0.397,3.7,5.6,20.6,27.2,39.7,84.0
10,Sr,"6'0""",Nijel Pack,Miami FL,ACC,9,Scoring PG,22.5,4.8,1.0,3.6,5.9,-2.4,124.3,122.4,22.0,56.7,59.2,3.4,8.6,26.6,11.5,3.3,0.4,0.8,18.6,2.1,0.0,0.474,0.619,0.833,0.55,58.8,12.0,0.386,4.3,3.0,13.9,9.0,38.6,83.3
11,So,"6'3""",PJ Haggerty,Memphis,Amer,35,Combo G,90.6,4.7,4.3,5.5,3.8,1.7,113.2,97.8,28.2,51.3,58.3,3.7,13.7,20.4,17.9,1.1,0.3,2.8,52.6,2.5,0.0,0.604,0.415,0.818,0.505,20.5,4.7,0.364,3.7,5.8,21.7,36.24,36.4,81.8
12,Sr,"6'7""",Jacob Ognacevic,Lipscomb,ASun,33,Wing F,86.1,4.5,3.4,3.5,4.5,-1.0,123.8,103.4,25.0,63.1,67.3,5.8,20.2,8.3,13.4,0.7,1.3,0.4,48.5,1.8,0.95,0.73,0.534,0.809,0.637,29.8,6.2,0.412,1.4,8.0,20.0,34.44,41.2,80.9
13,Jr,"6'1""",Ja'Kobi Gillespie,Maryland,B10,36,Scoring PG,78.6,4.5,4.4,9.6,5.7,3.9,121.6,91.1,22.6,56.3,59.8,2.0,7.9,27.3,15.1,2.6,0.4,3.5,23.7,2.4,1.0,0.626,0.369,0.862,0.508,53.9,10.7,0.407,4.8,2.8,14.7,31.44,40.7,86.2
14,Sr,"6'3""",Ian Martinez,Utah St.,MWC,33,Combo G,74.5,4.4,2.6,5.6,6.0,-0.4,120.1,106.3,25.0,52.4,59.4,3.4,10.6,17.1,14.0,1.6,1.3,1.9,45.3,2.8,0.833,0.64,0.354,0.874,0.527,55.3,12.3,0.348,2.7,3.4,16.4,29.8,34.8,87.4
15,Sr,"6'1""",Quimari Peterson,East Tennessee St.,SC,30,Scoring PG,88.8,4.4,3.4,7.4,6.1,1.2,118.5,104.6,27.4,55.5,58.0,4.0,10.7,25.0,14.5,1.7,0.7,3.4,25.2,1.8,0.0,0.563,0.37,0.741,0.494,43.7,11.5,0.423,3.7,4.5,19.5,35.52,42.3,74.1
16,Sr,"6'5""",Malik Thomas,San Francisco,WCC,33,Combo G,77.5,4.3,3.8,6.6,4.6,2.0,115.1,97.4,28.5,52.0,59.0,2.1,12.0,14.6,12.8,1.1,0.2,2.9,48.4,3.3,0.833,0.535,0.403,0.851,0.475,38.1,9.5,0.394,2.1,3.9,19.9,31.0,39.4,85.1
17,Sr,"6'3""",Blaise Threatt,Weber St.,BSky,29,Scoring PG,85.8,4.3,2.7,4.5,4.0,0.6,112.4,110.4,30.3,52.1,55.7,3.9,15.4,30.4,11.7,2.1,0.1,3.2,38.7,2.6,1.0,0.593,0.416,0.713,0.541,15.3,3.9,0.275,4.4,5.8,20.0,34.32,27.5,71.3
18,Jr,"6'6""",Darrion Williams,Texas Tech,B12,34,Wing G,67.9,4.3,3.8,8.5,5.6,2.9,114.8,94.8,26.9,49.5,53.8,6.3,14.8,23.1,14.0,1.9,1.4,2.5,25.9,2.9,1.0,0.605,0.396,0.836,0.488,33.3,8.3,0.34,3.6,5.5,15.1,27.16,34.0,83.6
