rank,del,year,height,name,unknown,team,conference,number,archetype,min_pct,prpg,d-prpg,bpm,obpm,dbpm,ortg,unknown1,usg,efg,ts,oreb_pct,dreb_pct,ast_pct,to_pct,a/to,blk_pct,stl_pct,ft_rate,fouls_per40,dunknums,dunk_pct,closenums,close_pct,farnums,far_pct,ftnums,ft_pct,2ptnums,2pt_pct,3pt_rate,3pt_per100,3ptnums,3pt_pct,ast,reb,pts
1,-,Jr,6-4,Bennett Stirtz*,0,Drake,MVC,33,Scoring PG,98.8,6.4,4.7,10.0,6.9,3.0,126.4,97.7,26.1,56.2,60.4,2.2,14.0,34.0,13.1,2.9,1.0,3.3,38.6,1.5,12-12,1.000,106-147,.721,56-150,.373,138-174,.793,162-297,.545,34.1,7.7,61-154,.396,5.7,4.3,19.2
2,-,So,6-2,Dylan Darling*,0,Idaho St.,BSky,26,Pure PG,84.3,5.1,2.8,7.1,6.0,1.0,120.9,108.6,29.3,50.7,57.8,1.2,11.4,35.4,14.7,2.3,1.4,2.8,54.5,1.8,0-0,.000,74-123,.602,37-105,.352,162-200,.810,111-228,.487,37.9,9.2,50-139,.360,5.7,3.4,19.8
3,-,Sr,6-11,Oscar Cluff*,0,South Dakota St.,Sum,28,PF/C,68.0,5.0,3.1,10.7,9.0,1.7,129.7,100.3,28.8,62.6,66.6,17.2,32.2,21.6,15.8,1.3,3.5,1.1,55.1,3.3,12-13,.923,127-204,.623,51-84,.607,126-162,.778,178-288,.618,2.0,0.4,4-6,.667,2.8,12.3,17.6
4,-,Sr,6-9,Yaxel Lendeborg*,0,UAB,Amer,36,PF/C,84.2,5.0,3.6,11.1,8.2,2.9,123.7,100.9,25.6,54.8,59.2,11.6,25.1,22.9,14.2,2.0,5.1,2.8,44.9,2.9,24-25,.960,154-228,.675,55-153,.359,153-202,.757,209-381,.549,15.3,3.2,25-69,.362,4.2,11.4,17.7
5,-,Sr,6-11,Dawson Garcia,93.2,Minnesota,B10,32,Stretch 4,86.7,5.0,3.8,7.3,6.5,0.9,116.5,100.2,26.0,53.0,57.9,5.4,20.2,13.3,9.9,1.4,2.7,1.3,41.5,2.5,8-9,.889,105-183,.574,55-126,.437,144-184,.783,160-309,.518,30.2,7.4,50-134,.373,2.0,7.5,19.2
6,-,Jr,6-2,Donovan Dent*,66.4,New Mexico,MWC,34,Pure PG,88.8,5.0,4.1,7.2,5.6,1.6,112.7,98.4,28.9,51.4,56.8,1.1,6.2,35.7,16.5,2.1,2.7,2.0,44.3,1.4,9-9,1.000,155-263,.589,69-184,.375,178-227,.784,224-447,.501,12.7,2.9,26-65,.400,6.4,2.3,20.4
7,-,Sr,6-5,Anthony Roy*,0,Green Bay,Horz,11,Combo G,29.2,5.0,2.1,8.4,8.7,-0.3,116.8,113.1,32.4,63.8,67.9,2.1,16.6,26.6,14.7,1.1,0.3,2.5,37.3,3.0,4-4,1.000,34-54,.630,7-12,.583,57-66,.864,41-66,.621,62.7,17.7,48-111,.432,2.9,5.3,25.7
8,-,Sr,6-4,Lamar Wilkerson*,0,Sam Houston St.,CUSA,29,Combo G,87.9,4.9,2.2,5.7,6.9,-1.1,118.6,114.1,25.3,57.6,60.4,3.3,9.9,14.2,12.4,1.1,0.7,1.8,21.7,2.6,1-1,1.000,50-86,.581,60-134,.448,80-97,.825,110-220,.500,50.7,12.9,98-226,.434,2.1,4.0,20.5
9,-,Sr,6-10,Jacksen Moni,0,North Dakota St.,Sum,26,Stretch 4,68.0,4.8,2.2,5.8,6.4,-0.6,121.1,110.9,32.1,58.4,62.9,4.5,16.7,27.6,14.9,1.5,1.6,1.0,36.3,3.1,2-3,.667,80-120,.667,41-90,.456,110-131,.840,121-210,.576,41.8,11.3,60-151,.397,3.7,5.6,20.6
10,-,Sr,6-0,Nijel Pack*,78.4,Miami FL,ACC,9,Scoring PG,22.5,4.8,1.0,3.6,5.9,-2.4,124.3,122.4,22.0,56.7,59.2,3.4,8.6,26.6,11.5,3.3,0.4,0.8,18.6,2.1,0-1,.000,9-19,.474,13-21,.619,15-18,.833,22-40,.550,58.8,12.0,22-57,.386,4.3,3.0,13.9
11,-,So,6-3,PJ Haggerty*,66.2,Memphis,Amer,35,Combo G,90.6,4.7,4.3,5.5,3.8,1.7,113.2,97.8,28.2,51.3,58.3,3.7,13.7,20.4,17.9,1.1,0.3,2.8,52.6,2.5,0-2,.000,119-197,.604,90-217,.415,224-274,.818,209-414,.505,20.5,4.7,39-107,.364,3.7,5.8,21.7
12,-,Sr,6-7,Jacob Ognacevic*,0,Lipscomb,ASun,33,Wing F,86.1,4.5,3.4,3.5,4.5,-1.0,123.8,103.4,25.0,63.1,67.3,5.8,20.2,8.3,13.4,0.7,1.3,0.4,48.5,1.8,19-20,.950,108-148,.730,71-133,.534,157-194,.809,179-281,.637,29.8,6.2,49-119,.412,1.4,8.0,20.0
13,-,Jr,6-1,Ja'Kobi Gillespie*,0,Maryland,B10,36,Scoring PG,78.6,4.5,4.4,9.6,5.7,3.9,121.6,91.1,22.6,56.3,59.8,2.0,7.9,27.3,15.1,2.6,0.4,3.5,23.7,2.4,4-4,1.000,62-99,.626,31-84,.369,81-94,.862,93-183,.508,53.9,10.7,87-214,.407,4.8,2.8,14.7
14,-,Sr,6-3,Ian Martinez,78.2,Utah St.,MWC,33,Combo G,74.5,4.4,2.6,5.6,6.0,-0.4,120.1,106.3,25.0,52.4,59.4,3.4,10.6,17.1,14.0,1.6,1.3,1.9,45.3,2.8,15-18,.833,64-100,.640,23-65,.354,146-167,.874,87-165,.527,55.3,12.3,71-204,.348,2.7,3.4,16.4
15,-,Sr,6-1,Quimari Peterson*,0,East Tennessee St.,SC,30,Scoring PG,88.8,4.4,3.4,7.4,6.1,1.2,118.5,104.6,27.4,55.5,58.0,4.0,10.7,25.0,14.5,1.7,0.7,3.4,25.2,1.8,0-0,.000,94-167,.563,34-92,.370,86-116,.741,128-259,.494,43.7,11.5,85-201,.423,3.7,4.5,19.5
16,-,Sr,6-5,Malik Thomas*,84.4,San Francisco,WCC,33,Combo G,77.5,4.3,3.8,6.6,4.6,2.0,115.1,97.4,28.5,52.0,59.0,2.1,12.0,14.6,12.8,1.1,0.2,2.9,48.4,3.3,5-6,.833,83-155,.535,52-129,.403,189-222,.851,135-284,.475,38.1,9.5,69-175,.394,2.1,3.9,19.9
17,-,Sr,6-3,Blaise Threatt,0,Weber St.,BSky,29,Scoring PG,85.8,4.3,2.7,4.5,4.0,0.6,112.4,110.4,30.3,52.1,55.7,3.9,15.4,30.4,11.7,2.1,0.1,3.2,38.7,2.6,1-1,1.000,159-268,.593,47-113,.416,124-174,.713,206-381,.541,15.3,3.9,19-69,.275,4.4,5.8,20.0
18,-,Jr,6-6,Darrion Williams*,0,Texas Tech,B12,34,Wing G,67.9,4.3,3.8,8.5,5.6,2.9,114.8,94.8,26.9,49.5,53.8,6.3,14.8,23.1,14.0,1.9,1.4,2.5,25.9,2.9,2-2,1.000,75-124,.605,63-159,.396,92-110,.836,138-283,.488,33.3,8.3,48-141,.340,3.6,5.5,15.1
19,-,Jr,6-9,Nick Davidson*,45.6,Nevada,MWC,33,Stretch 4,82.4,4.3,3.5,6.4,5.1,1.3,115.9,100.8,24.9,56.5,59.8,7.1,17.4,17.7,14.2,1.5,4.9,1.5,50.0,2.9,23-24,.958,94-134,.701,36-94,.383,123-176,.699,130-228,.570,35.2,7.0,46-124,.371,2.8,6.5,15.8
20,-,So,6-0,Barrington Hargress*,0,UC Riverside,BW,32,Scoring PG,79.9,4.2,2.1,4.3,5.2,-0.9,111.9,112.5,31.5,49.8,53.0,1.2,7.4,29.7,10.8,2.1,0.1,2.1,27.0,2.3,2-2,1.000,92-146,.630,81-193,.420,109-148,.736,173-339,.510,38.3,11.9,67-210,.319,4.0,2.3,20.2
21,-,Jr,6-7,Keyshawn Hall*,0,UCF,B12,33,Wing F,73.4,4.2,3.1,3.0,3.7,-0.7,107.6,104.5,28.0,47.8,55.8,6.5,16.3,14.8,17.8,0.8,1.4,1.3,55.5,3.0,7-8,.875,115-233,.494,28-80,.350,199-244,.816,143-313,.457,28.9,6.4,45-127,.354,2.4,7.1,18.8
22,-,Sr,6-8,Babacar Faye*,0,Western Kentucky,CUSA,9,Wing F,21.3,4.1,3.0,6.6,5.3,1.3,125.0,101.0,23.0,58.3,64.1,10.9,16.9,5.1,10.2,0.6,2.8,2.1,63.1,3.1,11-13,.846,36-59,.610,7-13,.538,42-53,.792,43-72,.597,14.3,2.6,4-12,.333,0.7,7.8,15.2
23,-,Sr,6-8,Ian Schieffelin,68.2,Clemson,ACC,34,Stretch 4,81.6,4.1,4.4,7.1,4.8,2.3,120.9,93.0,20.6,54.1,57.4,11.2,22.4,15.1,14.5,1.7,2.6,1.5,34.1,2.2,20-20,1.000,101-164,.616,27-68,.397,80-108,.741,128-232,.552,26.8,4.6,29-85,.341,2.7,9.4,12.4
24,-,Jr,6-6,Josh Dix*,68.8,Iowa,B10,32,Combo G,78.0,4.1,2.8,4.6,4.6,0.1,122.8,106.7,18.4,59.9,61.1,1.0,10.5,14.6,8.0,3.3,1.5,1.6,13.2,1.6,4-4,1.000,62-89,.697,53-112,.473,36-47,.766,115-201,.572,43.4,8.4,65-154,.422,2.8,3.2,14.4
25,-,Jr,6-3,Xaivian Lee*,0,Princeton,Ivy,28,Scoring PG,83.6,4.0,3.1,5.9,4.7,1.2,113.4,105.1,29.3,50.9,54.7,3.4,20.2,37.3,13.6,2.5,1.4,2.2,28.3,2.8,1-1,1.000,93-189,.492,23-53,.434,89-113,.788,116-242,.479,39.3,9.9,58-157,.369,5.5,6.1,16.9
26,-,Fr,6-5,Adrian Wooley*,0,Kennesaw St.,CUSA,30,Combo G,85.1,4.0,3.2,5.0,4.1,0.9,112.7,104.9,26.0,58.8,62.7,3.9,12.3,22.6,21.6,1.1,0.3,2.4,44.8,3.5,6-6,1.000,104-171,.608,18-45,.400,127-165,.770,122-216,.565,41.3,8.4,63-152,.414,3.6,5.2,18.8
27,-,Sr,6-7,Bryce Hopkins*,93.2,Providence,BE,3,Wing G,7.1,4.0,3.3,7.0,6.0,1.0,112.5,99.3,30.4,45.0,51.5,9.0,19.5,21.7,10.9,1.8,0.0,2.0,50.0,1.3,2-2,1.000,12-28,.429,0-2,.000,15-20,.750,12-30,.400,25.0,6.6,4-10,.400,3.0,7.7,17.0
28,-,Sr,6-7,Chad Baker-Mazara*,0,Auburn,SEC,38,Wing G,63.8,4.0,3.5,9.1,5.1,4.0,122.4,91.7,22.0,53.9,60.4,2.4,10.6,18.0,14.4,1.9,2.5,2.7,41.4,4.2,8-11,.727,49-76,.645,37-93,.398,119-134,.888,86-169,.509,47.8,9.2,59-155,.381,2.7,3.0,12.3
29,-,Sr,6-6,Jaron Pierre Jr.*,0,Jacksonville St.,CUSA,33,Wing G,94.7,4.0,3.2,3.4,4.2,-0.8,105.5,107.4,30.6,48.3,52.7,2.0,13.7,21.5,15.5,1.3,1.0,1.1,29.0,1.7,11-12,.917,77-147,.524,66-180,.367,135-168,.804,143-327,.437,43.5,12.2,91-252,.361,3.8,5.5,21.6
30,-,Jr,6-11,Reed Bailey*,63.4,Davidson,A10,32,Wing F,84.5,4.0,2.8,3.2,3.2,0.0,107.4,107.6,32.1,49.2,55.4,5.1,16.2,25.3,15.4,1.4,2.7,1.2,50.9,3.0,14-17,.824,108-187,.578,85-216,.394,174-226,.770,193-403,.479,9.2,2.3,17-41,.415,3.8,6.1,18.8
31,-,Jr,6-3,Obi Agbim*,0,Wyoming,MWC,28,Scoring PG,78.2,4.0,3.0,5.7,4.9,0.8,114.0,106.6,24.9,56.8,58.9,1.3,10.1,23.6,15.6,1.6,1.1,1.8,19.9,2.6,5-6,.833,34-58,.586,64-140,.457,58-75,.773,98-198,.495,47.3,11.2,77-178,.433,3.4,3.2,17.6
32,-,Sr,6-8,John Camden*,70.2,Delaware,CAA,34,Wing F,86.6,4.0,2.0,2.8,4.5,-1.8,121.5,115.0,21.7,59.4,62.5,3.8,14.2,11.6,10.3,1.6,1.2,1.8,34.2,2.4,3-5,.600,72-118,.610,25-64,.391,107-137,.781,97-182,.533,54.6,10.6,94-219,.429,2.1,5.5,16.8
33,-,Jr,6-3,Ryan Conwell*,0,Xavier,BE,34,Combo G,81.9,4.0,3.5,5.5,4.3,1.1,116.0,101.0,22.1,57.7,61.8,1.0,8.8,14.9,12.8,1.5,0.6,2.3,34.3,3.0,1-1,1.000,62-111,.559,15-40,.375,111-134,.828,77-151,.510,61.4,12.3,99-240,.412,2.5,2.7,16.5
34,-,Jr,6-4,Jemel Jones*,0,Cal St. Bakersfield,BW,31,Combo G,67.4,3.9,1.6,4.7,6.2,-1.5,113.5,114.7,34.0,51.4,55.7,4.3,12.5,22.0,13.7,1.0,1.3,1.8,27.0,3.4,1-1,1.000,50-86,.581,141-289,.488,108-127,.850,191-375,.509,20.4,6.8,34-96,.354,2.1,3.6,18.9
35,-,Jr,6-1,"Brian Moore, Jr.*",0,Norfolk St.,MEAC,32,Combo G,78.8,3.9,2.3,4.4,4.5,-0.2,121.6,110.9,25.3,55.5,60.5,2.4,11.3,18.9,11.7,1.9,1.0,2.0,42.1,2.3,11-11,1.000,125-188,.665,61-141,.433,134-165,.812,186-329,.565,16.1,3.7,21-63,.333,3.0,3.7,18.1
36,-,Sr,7-0,Bent Leuchten,0,UC Irvine,BW,38,PF/C,66.4,3.9,3.8,8.6,5.7,2.9,124.5,90.5,25.5,56.7,64.5,11.3,25.2,12.5,13.2,1.0,5.1,1.1,76.4,2.6,5-5,1.000,129-205,.629,31-83,.373,206-252,.817,160-288,.556,12.7,2.4,18-42,.429,1.6,9.1,15.4
37,-,Sr,6-11,Quincy Ballard*,35.2,Wichita St.,Amer,32,C,66.3,3.9,3.1,6.7,4.5,2.2,141.5,99.0,13.5,75.0,72.3,11.8,23.3,2.0,8.7,0.5,7.3,1.3,36.4,2.4,63-67,.940,126-155,.813,12-29,.414,36-67,.537,138-184,.750,0.0,0.0,0-0,.000,0.3,9.2,10.0
38,-,So,6-2,Xzayvier Brown*,67,Saint Joseph's,A10,32,Combo G,82.1,3.9,3.9,4.2,2.9,1.4,111.9,100.2,25.5,49.5,56.6,2.2,13.6,24.4,16.9,1.6,0.3,2.4,39.4,2.0,0-0,.000,96-179,.536,17-60,.283,148-165,.897,113-239,.473,43.0,9.1,63-180,.350,4.3,5.2,17.6
39,-,Jr,6-7,AK Okereke*,0,Cornell,Ivy,27,Wing G,65.9,3.9,2.2,7.2,5.4,1.8,125.9,108.1,25.3,61.9,66.0,5.6,14.6,28.6,16.7,2.2,4.6,2.3,49.4,3.6,6-6,1.000,100-148,.676,20-35,.571,92-116,.793,120-183,.656,22.1,4.1,17-52,.327,4.1,4.6,13.9
40,-,Jr,6-10,Josh Ojianwuna*,69.4,Baylor,B12,22,C,39.6,3.9,2.9,6.1,3.6,2.5,141.3,97.2,12.6,77.2,75.4,12.2,18.4,4.4,14.2,0.7,3.5,2.3,72.2,4.2,31-31,1.000,49-58,.845,12-20,.600,38-57,.667,61-78,.782,1.3,0.1,0-1,.000,0.6,6.4,7.4
41,-,Sr,6-9,Julian Reese,88.4,Maryland,B10,36,C,71.1,3.9,4.6,8.0,4.1,4.0,119.9,85.0,22.5,55.5,59.9,12.2,23.8,8.0,13.3,0.8,5.6,2.2,53.0,3.7,20-27,.741,113-180,.628,64-138,.464,124-169,.734,177-318,.557,0.3,0.1,0-1,.000,1.3,9.0,13.3
42,-,Jr,6-3,Nik Graves*,0,Charlotte,Amer,32,Combo G,84.6,3.8,2.2,3.6,4.6,-1.1,114.9,113.2,26.1,49.2,56.2,3.9,12.1,18.6,9.1,2.0,0.9,1.7,58.9,2.5,0-3,.000,77-136,.566,26-75,.347,178-231,.771,103-211,.488,46.2,10.0,60-181,.331,2.7,4.3,17.5
43,-,Sr,6-2,Alston Mason,50.8,Arizona St.,B12,32,Scoring PG,87.5,3.8,3.3,3.1,2.9,0.1,111.6,105.7,19.9,52.3,57.8,1.5,6.3,21.9,16.9,1.9,0.7,1.2,36.4,2.1,0-0,.000,61-117,.521,23-60,.383,101-119,.849,84-177,.475,45.9,7.3,58-150,.387,4.0,2.5,13.8
44,-,So,6-2,Jaland Lowe*,83.8,Pittsburgh,ACC,31,Scoring PG,85.1,3.8,3.8,2.4,2.1,0.4,104.0,100.8,29.8,42.2,49.9,2.9,11.2,31.1,16.9,1.8,0.8,3.0,37.6,2.4,0-0,.000,76-143,.531,49-145,.338,147-166,.886,125-288,.434,34.8,8.4,41-154,.266,5.5,4.2,16.8
45,-,Jr,6-8,Brandon Noel*,0,Wright St.,Horz,31,Wing F,85.1,3.7,2.4,3.0,4.0,-1.0,117.1,111.3,25.4,59.7,62.3,6.7,19.5,10.2,14.7,0.8,2.5,1.7,34.4,2.4,25-26,.962,167-252,.663,22-55,.400,104-140,.743,189-307,.616,24.6,5.5,36-100,.360,1.7,7.7,19.0
46,-,Jr,6-2,Paul Lewis*,50.4,UTSA,Amer,1,Combo G,1.1,3.7,1.2,5.5,1.7,3.9,206.0,103.2,7.2,100.0,102.6,0.0,9.9,0.0,0.0,0.0,0.0,4.7,200.0,0.0,0-0,.000,1-1,1.000,0-0,.000,2-2,1.000,1-1,1.000,0.0,0.0,0-0,.000,0.0,1.0,3.5
47,-,Sr,6-0,PJay Smith,0,Furman,SC,32,Scoring PG,80.1,3.7,2.8,5.1,4.7,0.5,116.2,106.2,26.5,54.8,60.0,1.6,12.9,26.8,16.5,1.7,0.8,3.0,35.5,2.5,0-0,.000,36-68,.529,27-67,.403,121-140,.864,63-135,.467,65.7,15.1,102-259,.394,3.9,4.1,17.6
48,-,So,6-10,Owen Freeman*,64,Iowa,B10,19,PF/C,37.9,3.7,2.7,5.5,4.4,1.1,116.7,102.6,26.3,65.0,64.7,9.0,20.7,9.6,14.4,0.7,7.4,1.3,35.7,4.1,22-24,.917,115-158,.728,14-36,.389,45-75,.600,129-194,.665,7.6,1.8,5-16,.313,1.3,6.7,16.7
49,-,Jr,6-4,Isaac McKneely*,88.2,Virginia,ACC,32,Scoring PG,86.1,3.7,2.8,3.9,4.4,-0.5,114.0,108.0,21.6,58.5,60.9,0.5,9.4,19.0,12.9,2.0,0.4,1.5,20.2,1.8,0-0,.000,20-44,.455,31-62,.500,57-70,.814,51-106,.481,69.4,14.2,101-240,.421,2.9,2.7,14.4
50,-,Sr,6-7,Tucker DeVries*,74.8,West Virginia,B12,8,Wing G,21.2,3.7,4.7,8.7,4.6,4.2,113.8,90.3,21.6,56.5,60.5,2.1,14.3,16.8,15.5,1.5,5.0,3.1,32.9,3.3,2-2,1.000,7-14,.500,2-16,.125,23-28,.821,9-30,.300,64.7,12.3,26-55,.473,2.8,4.9,14.9
51,-,Sr,6-5,Jamar Brown*,0,UMKC,Sum,27,Wing F,79.9,3.7,3.2,4.1,4.1,-0.0,118.0,104.7,24.1,53.7,59.2,10.4,15.1,8.0,14.9,0.6,0.9,2.5,31.1,3.2,3-3,1.000,56-100,.560,26-74,.351,95-104,.913,82-174,.471,47.9,10.6,65-160,.406,1.2,7.4,17.0
52,-,Jr,6-6,RJ Luis Jr.,54,St. John's,BE,35,Wing G,76.3,3.7,4.8,7.2,4.2,3.0,108.7,87.4,27.6,48.3,52.5,7.0,17.0,12.3,14.1,0.9,2.1,2.5,34.1,2.7,39-42,.929,132-237,.557,51-148,.345,133-178,.747,183-385,.475,26.2,7.0,46-137,.336,2.0,7.2,18.2
53,-,So,6-3,Bryce Lindsay*,64.6,James Madison,SB,29,Combo G,72.1,3.7,1.8,3.4,4.8,-1.3,125.2,114.1,20.2,59.3,61.4,1.6,9.8,16.2,11.5,2.0,0.1,1.3,15.3,2.0,1-1,1.000,38-62,.613,14-33,.424,39-46,.848,52-95,.547,68.3,14.5,84-205,.410,2.2,2.8,13.4
54,-,Sr,6-5,Nate Kingz*,0,Oregon St.,WCC,30,Combo G,64.3,3.6,2.2,4.9,4.9,0.0,131.1,108.3,17.7,62.2,65.3,3.1,8.3,12.3,10.4,2.2,2.1,1.6,32.6,2.7,3-3,1.000,41-71,.577,18-33,.545,61-75,.813,59-104,.567,54.8,9.3,56-126,.444,1.8,2.5,11.8
55,-,So,6-4,Rodney Rice*,86.8,Maryland,B10,36,Combo G,77.5,3.6,3.8,5.2,3.6,1.6,118.7,96.6,19.7,53.8,57.3,2.2,5.9,11.6,10.1,1.9,0.2,1.3,26.5,2.0,3-3,1.000,29-57,.509,58-114,.509,83-102,.814,87-171,.509,55.6,10.9,80-214,.374,2.1,2.2,13.8
56,-,Sr,6-8,Paul Otieno*,0,Quinnipiac,MAAC,31,PF/C,75.4,3.6,2.9,3.5,2.8,0.7,129.1,105.0,18.1,60.5,64.4,14.2,17.0,7.3,12.9,0.8,7.1,1.3,39.2,3.6,12-14,.857,114-167,.683,27-65,.415,84-103,.816,141-232,.608,11.8,1.8,12-31,.387,1.1,8.6,13.0
57,-,Jr,6-9,Michael Rataj*,0,Oregon St.,WCC,31,Wing F,78.2,3.6,3.5,3.4,2.9,0.5,110.2,100.6,27.7,52.2,57.2,7.2,20.4,13.3,16.7,0.8,2.2,2.9,40.6,2.7,9-9,1.000,97-147,.660,57-148,.385,124-157,.790,154-295,.522,23.8,5.6,32-92,.348,2.0,7.2,16.9
58,-,Sr,6-3,Jacari White*,0,North Dakota St.,Sum,28,Wing G,75.0,3.6,2.1,2.9,4.3,-1.3,116.9,112.1,26.8,57.1,61.6,3.7,12.6,14.9,14.9,1.2,1.3,1.3,34.0,2.9,3-3,1.000,53-89,.596,25-53,.472,101-118,.856,78-142,.549,59.1,13.9,80-205,.390,2.3,4.3,17.1
59,-,Sr,6-2,JJ White*,0,Nebraska Omaha,Sum,33,Scoring PG,68.9,3.5,1.7,3.9,4.9,-1.0,122.2,113.9,24.3,59.1,62.8,2.2,8.8,29.4,16.2,2.2,0.0,1.7,37.3,2.8,1-1,1.000,64-101,.634,24-63,.381,93-117,.795,88-164,.537,47.8,9.5,65-150,.433,4.0,2.6,13.7
60,-,Sr,6-6,Pierre Brooks,88.2,Butler,BE,35,Wing G,82.3,3.5,2.8,2.4,3.4,-1.0,110.6,107.1,22.6,54.0,57.3,3.3,13.9,12.2,13.3,1.1,0.3,0.8,24.8,1.5,1-1,1.000,74-120,.617,63-124,.508,84-103,.816,137-244,.561,41.2,8.8,58-171,.339,1.9,5.1,15.2
